skill_name,category,aliases,versions
Next.js,前端框架,,
Nuxt.js,前端框架,,
Gatsby,前端框架,,
jQuery,前端框架,,
Bootstrap,前端框架,,
Tailwind CSS,前端框架,,
Ant Design,前端框架,,
Element UI,前端框架,,
Vuetify,前端框架,,
Material UI,前端框架,,
Chakra UI,前端框架,,
SolidJS,前端框架,,
Three.js,前端框架,threejs,
ECharts,前端框架,,
Django,后端框架,django-rest-framework,Django 2.x|Django 3.x|Django 4.x|Django 5.x
Flask,后端框架,,Flask 1.x|Flask 2.0|Flask 2.1|Flask 2.2|Flask 2.3|Flask 3.0
FastAPI,后端框架,fast-api,
Spring,后端框架,spring|springmvc,Spring 4|Spring 5|Spring 6|Spring Boot 1.x|Spring Boot 2.0|Spring Boot 2.1|Spring Boot 2.2|Spring Boot 2.3|Spring Boot 2.4|Spring Boot 2.5|Spring Boot 2.6|Spring Boot 2.7|Spring Boot 3.0|Spring Boot 3.1|Spring Boot 3.2|Spring Cloud 2020|Spring Cloud 2021|Spring Cloud 2022|Spring Cloud 2023
Spring Boot,后端框架,springboot,
Express,后端框架,,
Koa,后端框架,,
NestJS,后端框架,,
Laravel,后端框架,,
Rails,后端框架,,
ASP.NET,后端框架,,
Phoenix,后端框架,,
Actix,后端框架,,
Rocket,后端框架,,
Sanic,后端框架,,
Tornado,后端框架,,
Gin,后端框架,,
Fiber,后端框架,,
Dubbo,后端框架,,
gRPC,后端框架,,
Flutter,移动开发,flutter,
React Native,移动开发,react-native|rn,
Uni-app,移动开发,,
Taro,移动开发,,
Android SDK,移动开发,,
iOS SDK,移动开发,,
HarmonyOS,移动开发,,
鸿蒙开发,移动开发,,
WeChat Mini Program,移动开发,,
微信小程序,移动开发,,
Hadoop,大数据,hadoop,
Spark,大数据,spark,
Flink,大数据,,
Kafka,大数据,kafka,
Hive,大数据,,
Presto,大数据,,
Impala,大数据,,
Doris,大数据,,
StarRocks,大数据,,
Airflow,大数据,,
Zookeeper,大数据,,
DataX,大数据,,
MySQL,数据库,mysql,MySQL 5.5|MySQL 5.6|MySQL 5.7|MySQL 8.0
PostgreSQL,数据库,postgresql|postgres,PostgreSQL 9.x|PostgreSQL 10|PostgreSQL 11|PostgreSQL 12|PostgreSQL 13|PostgreSQL 14|PostgreSQL 15|PostgreSQL 16
MongoDB,数据库,mongodb|mongo,MongoDB 3.x|MongoDB 4.0|MongoDB 4.2|MongoDB 4.4|MongoDB 5.0|MongoDB 6.0|MongoDB 7.0
Redis,数据库,redis,Redis 3.x|Redis 4.x|Redis 5.0|Redis 6.0|Redis 6.2|Redis 7.0|Redis 7.2
Elasticsearch,数据库,elasticsearch|es,Elasticsearch 5.x|Elasticsearch 6.x|Elasticsearch 7.x|Elasticsearch 8.x
Oracle,数据库,,
SQL Server,数据库,,
SQLite,数据库,,
Cassandra,数据库,,
HBase,数据库,,
Neo4j,数据库,,
InfluxDB,数据库,,
ClickHouse,数据库,click-house,
DynamoDB,数据库,,
Firestore,数据库,,
Milvus,数据库,,
Pinecone,数据库,,
TiDB,数据库,,
AWS,云平台与基础设施,,
Azure,云平台与基础设施,,
Google Cloud,云平台与基础设施,,
阿里云,云平台与基础设施,,
腾讯云,云平台与基础设施,,
华为云,云平台与基础设施,,
DigitalOcean,云平台与基础设施,,
Heroku,云平台与基础设施,,
Vercel,云平台与基础设施,,
Netlify,云平台与基础设施,,
Cloudflare,云平台与基础设施,,
Firebase,云平台与基础设施,,
OpenStack,云平台与基础设施,,
VMware,云平台与基础设施,,
Docker,DevOps工具,docker,Docker 17.x|Docker 18.x|Docker 19.x|Docker 20.x|Docker 23.x|Docker 24.x
Kubernetes,DevOps工具,k8s|kubernetes,Kubernetes 1.18|Kubernetes 1.19|Kubernetes 1.20|Kubernetes 1.21|Kubernetes 1.22|Kubernetes 1.23|Kubernetes 1.24|Kubernetes 1.25|Kubernetes 1.26|Kubernetes 1.27|Kubernetes 1.28|Kubernetes 1.29|K8s|K8s 1.24|K8s 1.28
K8s,DevOps工具,,
Jenkins,DevOps工具,jenkins,
GitLab CI,DevOps工具,git-lab,
GitHub Actions,DevOps工具,,
CircleCI,DevOps工具,,
Terraform,DevOps工具,terraform,
Ansible,DevOps工具,,
Chef,DevOps工具,,
Puppet,DevOps工具,,
Prometheus,DevOps工具,,
Grafana,DevOps工具,,
ELK Stack,DevOps工具,,
Splunk,DevOps工具,,
Datadog,DevOps工具,,
ArgoCD,DevOps工具,,
Helm,DevOps工具,,
Git,版本控制,,
SVN,版本控制,,
Mercurial,版本控制,,
Selenium,测试与质量,,
Pytest,测试与质量,,
JUnit,测试与质量,,
Cypress,测试与质量,,
Playwright,测试与质量,,
Postman,测试与质量,,
JMeter,测试与质量,,
LoadRunner,测试与质量,,
SonarQube,测试与质量,,
RTOS,嵌入式与物联网,,
FreeRTOS,嵌入式与物联网,,
STM32,嵌入式与物联网,,
Arduino,嵌入式与物联网,,
Raspberry Pi,嵌入式与物联网,,
ESP32,嵌入式与物联网,,
MQTT,嵌入式与物联网,,
UART,嵌入式与物联网,,
SPI,嵌入式与物联网,,
I2C,嵌入式与物联网,,
Linux,操作系统,,
Windows,操作系统,,
macOS,操作系统,,
Ubuntu,操作系统,,
CentOS,操作系统,,
Debian,操作系统,,
Red Hat,操作系统,,
Android,操作系统,,
iOS,操作系统,,
JIRA,其他工具,,
Confluence,其他工具,,
Slack,其他工具,,
Notion,其他工具,,
Swagger,其他工具,,
Figma,其他工具,,
Webpack,其他工具,,
Vite,其他工具,,
Babel,其他工具,,
ESLint,其他工具,,
Prettier,其他工具,,
Jupyter,其他工具,,
VS Code,其他工具,,
