resume_id,resume_text,skills
14,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用阿里云、Hibernate、SpringBoot、Docker、Spring、MyBatis、Oracle进行企业级项目开发，
优化数据库性能，提高系统并发能力。
学习能力强，适应新技术快。",阿里云、Hibernate、SpringBoot、Docker、Spring、MyBatis、Oracle
15,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Kotlin、大模型、Docker、深度学习进行企业级项目开发，
优化数据库性能，提高系统并发能力。
学习能力强，适应新技术快。",Kotlin、大模型、Docker、深度学习
16,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握阿里云、深度学习、React、Go、Rust，
具备扎实的数据结构与算法基础。
学习能力强，适应新技术快。",阿里云、深度学习、React、Go、Rust
17,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Linux、Django、PyTorch、机器学习、Flask、Spring进行企业级项目开发，
优化数据库性能，提高系统并发能力。
学习能力强，适应新技术快。",Linux、Django、PyTorch、机器学习、Flask、Spring
18,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握SpringBoot、Angular、机器学习、PHP，
具备扎实的数据结构与算法基础。
学习能力强，适应新技术快。",SpringBoot、Angular、机器学习、PHP
19,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用Flink、Spring、Angular、Linux、计算机视觉、Go完成系统搭建，
实现高可用分布式架构设计。
沟通表达能力优秀。",Flink、Spring、Angular、Linux、计算机视觉、Go
20,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用大模型、AWS、深度学习、机器学习、阿里云、JavaScript完成系统搭建，
实现高可用分布式架构设计。
沟通表达能力优秀。",大模型、AWS、深度学习、机器学习、阿里云、JavaScript
21,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用计算机视觉、C、Django、TensorFlow、PostgreSQL、Vue、Oracle进行企业级项目开发，
优化数据库性能，提高系统并发能力。
具备良好的团队合作能力。",计算机视觉、C、Django、TensorFlow、PostgreSQL、Vue、Oracle
22,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用MongoDB、C、Kotlin、Redis、Angular、深度学习、SpringBoot进行企业级项目开发，
优化数据库性能，提高系统并发能力。
具备良好的团队合作能力。",MongoDB、C、Kotlin、Redis、Angular、深度学习、SpringBoot
23,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握PyTorch、SQLite、MySQL、Redis、AWS、JavaScript、Python、深度学习，
具备扎实的数据结构与算法基础。
沟通表达能力优秀。",PyTorch、SQLite、MySQL、Redis、AWS、JavaScript、Python、深度学习
24,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用PyTorch、Docker、TensorFlow、AWS、Hive完成系统搭建，
实现高可用分布式架构设计。
拥有较强的问题分析能力。",PyTorch、Docker、TensorFlow、AWS、Hive
25,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握PyTorch、Go、Hibernate、Java、Docker，
具备扎实的数据结构与算法基础。
学习能力强，适应新技术快。",PyTorch、Go、Hibernate、Java、Docker
26,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用Rust、深度学习、Flink、Flask、C++、Keras、PHP完成系统搭建，
实现高可用分布式架构设计。
具备良好的团队合作能力。",Rust、深度学习、Flink、Flask、C++、Keras、PHP
27,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用Django、SQLite、Java、Angular、深度学习、SpringBoot完成系统搭建，
实现高可用分布式架构设计。
沟通表达能力优秀。",Django、SQLite、Java、Angular、深度学习、SpringBoot
28,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Kotlin、Hive、Oracle、Docker、PostgreSQL、SpringBoot、机器学习进行企业级项目开发，
优化数据库性能，提高系统并发能力。
学习能力强，适应新技术快。",Kotlin、Hive、Oracle、Docker、PostgreSQL、SpringBoot、机器学习
29,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用MyBatis、Redis、JavaScript、React、Hive进行企业级项目开发，
优化数据库性能，提高系统并发能力。
拥有较强的问题分析能力。",MyBatis、Redis、JavaScript、React、Hive
30,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Hive、Docker、MyBatis、Kubernetes、React、AWS、NLP、Hadoop进行企业级项目开发，
优化数据库性能，提高系统并发能力。
沟通表达能力优秀。",Hive、Docker、MyBatis、Kubernetes、React、AWS、NLP、Hadoop
31,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握Hadoop、SpringCloud、Spark、Keras、MongoDB、React、Rust，
具备扎实的数据结构与算法基础。
具备良好的团队合作能力。",Hadoop、SpringCloud、Spark、Keras、MongoDB、React、Rust
32,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用TypeScript、TensorFlow、Spark、Spring完成系统搭建，
实现高可用分布式架构设计。
学习能力强，适应新技术快。",TypeScript、TensorFlow、Spark、Spring
33,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用TensorFlow、MongoDB、Java、计算机视觉完成系统搭建，
实现高可用分布式架构设计。
拥有较强的问题分析能力。",TensorFlow、MongoDB、Java、计算机视觉
34,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用机器学习、JavaScript、Django、SpringCloud完成系统搭建，
实现高可用分布式架构设计。
拥有较强的问题分析能力。",机器学习、JavaScript、Django、SpringCloud
35,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Linux、Hibernate、MongoDB、C、Oracle、AWS、Django进行企业级项目开发，
优化数据库性能，提高系统并发能力。
沟通表达能力优秀。",Linux、Hibernate、MongoDB、C、Oracle、AWS、Django
36,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用MySQL、Hibernate、Docker、TensorFlow、SQLite、Kubernetes、深度学习、Flink完成系统搭建，
实现高可用分布式架构设计。
学习能力强，适应新技术快。",MySQL、Hibernate、Docker、TensorFlow、SQLite、Kubernetes、深度学习、Flink
37,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用Hibernate、SpringCloud、Spark、TypeScript、Go、SpringBoot完成系统搭建，
实现高可用分布式架构设计。
学习能力强，适应新技术快。",Hibernate、SpringCloud、Spark、TypeScript、Go、SpringBoot
38,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握C++、Hive、阿里云、Kotlin、Flask、Spring、Hibernate，
具备扎实的数据结构与算法基础。
沟通表达能力优秀。",C++、Hive、阿里云、Kotlin、Flask、Spring、Hibernate
39,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Hibernate、Oracle、Spring、C、Redis、Rust、Hive进行企业级项目开发，
优化数据库性能，提高系统并发能力。
学习能力强，适应新技术快。",Hibernate、Oracle、Spring、C、Redis、Rust、Hive
40,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握PostgreSQL、TensorFlow、阿里云、Oracle、深度学习、计算机视觉、MyBatis，
具备扎实的数据结构与算法基础。
沟通表达能力优秀。",PostgreSQL、TensorFlow、阿里云、Oracle、深度学习、计算机视觉、MyBatis
41,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用机器学习、Keras、Angular、阿里云、PHP、PostgreSQL、Go完成系统搭建，
实现高可用分布式架构设计。
拥有较强的问题分析能力。",机器学习、Keras、Angular、阿里云、PHP、PostgreSQL、Go
42,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Spring、Redis、深度学习、Go、机器学习、C进行企业级项目开发，
优化数据库性能，提高系统并发能力。
沟通表达能力优秀。",Spring、Redis、深度学习、Go、机器学习、C
43,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用深度学习、PHP、Python、MongoDB、AWS、Rust、TypeScript完成系统搭建，
实现高可用分布式架构设计。
具备良好的团队合作能力。",深度学习、PHP、Python、MongoDB、AWS、Rust、TypeScript
44,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握Hadoop、Kotlin、Python、Django，
具备扎实的数据结构与算法基础。
学习能力强，适应新技术快。",Hadoop、Kotlin、Python、Django
45,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Vue、MongoDB、TensorFlow、计算机视觉进行企业级项目开发，
优化数据库性能，提高系统并发能力。
学习能力强，适应新技术快。",Vue、MongoDB、TensorFlow、计算机视觉
46,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用计算机视觉、大模型、机器学习、SpringCloud进行企业级项目开发，
优化数据库性能，提高系统并发能力。
具备良好的团队合作能力。",计算机视觉、大模型、机器学习、SpringCloud
47,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用MySQL、PostgreSQL、深度学习、大模型、Docker、Rust、Redis进行企业级项目开发，
优化数据库性能，提高系统并发能力。
拥有较强的问题分析能力。",MySQL、PostgreSQL、深度学习、大模型、Docker、Rust、Redis
48,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用Go、深度学习、SpringBoot、TensorFlow、Angular、React、MySQL、Vue完成系统搭建，
实现高可用分布式架构设计。
沟通表达能力优秀。",Go、深度学习、SpringBoot、TensorFlow、Angular、React、MySQL、Vue
49,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Kotlin、Python、SpringCloud、Docker、SpringBoot、Hibernate进行企业级项目开发，
优化数据库性能，提高系统并发能力。
学习能力强，适应新技术快。",Kotlin、Python、SpringCloud、Docker、SpringBoot、Hibernate
50,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握Flink、JavaScript、MyBatis、Spark、MySQL、SpringBoot、TensorFlow、腾讯云，
具备扎实的数据结构与算法基础。
沟通表达能力优秀。",Flink、JavaScript、MyBatis、Spark、MySQL、SpringBoot、TensorFlow、腾讯云
51,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Oracle、SpringCloud、Angular、JavaScript、Keras进行企业级项目开发，
优化数据库性能，提高系统并发能力。
沟通表达能力优秀。",Oracle、SpringCloud、Angular、JavaScript、Keras
52,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用TensorFlow、PyTorch、Oracle、Kubernetes、SQLite、Kotlin、Angular完成系统搭建，
实现高可用分布式架构设计。
具备良好的团队合作能力。",TensorFlow、PyTorch、Oracle、Kubernetes、SQLite、Kotlin、Angular
53,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Flask、SpringBoot、MySQL、PyTorch、NLP、Spark、Docker进行企业级项目开发，
优化数据库性能，提高系统并发能力。
具备良好的团队合作能力。",Flask、SpringBoot、MySQL、PyTorch、NLP、Spark、Docker
54,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用TypeScript、Rust、大模型、Oracle、MyBatis、PyTorch完成系统搭建，
实现高可用分布式架构设计。
学习能力强，适应新技术快。",TypeScript、Rust、大模型、Oracle、MyBatis、PyTorch
55,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Spring、Docker、AWS、MongoDB、Oracle、SpringBoot、MyBatis进行企业级项目开发，
优化数据库性能，提高系统并发能力。
具备良好的团队合作能力。",Spring、Docker、AWS、MongoDB、Oracle、SpringBoot、MyBatis
56,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握机器学习、Flink、Linux、Kotlin、NLP、AWS、Hadoop，
具备扎实的数据结构与算法基础。
具备良好的团队合作能力。",机器学习、Flink、Linux、Kotlin、NLP、AWS、Hadoop
57,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握Spark、计算机视觉、SpringBoot、Linux、Keras，
具备扎实的数据结构与算法基础。
学习能力强，适应新技术快。",Spark、计算机视觉、SpringBoot、Linux、Keras
58,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握Spark、MySQL、Kubernetes、MongoDB、MyBatis、C、Hive，
具备扎实的数据结构与算法基础。
沟通表达能力优秀。",Spark、MySQL、Kubernetes、MongoDB、MyBatis、C、Hive
59,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Kotlin、Flink、Hadoop、Keras、TensorFlow、SpringCloud进行企业级项目开发，
优化数据库性能，提高系统并发能力。
具备良好的团队合作能力。",Kotlin、Flink、Hadoop、Keras、TensorFlow、SpringCloud
60,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用大模型、JavaScript、PostgreSQL、React、Docker、C++完成系统搭建，
实现高可用分布式架构设计。
学习能力强，适应新技术快。",大模型、JavaScript、PostgreSQL、React、Docker、C++
61,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握SQLite、Kotlin、Redis、SpringBoot、阿里云、Django、TensorFlow、AWS，
具备扎实的数据结构与算法基础。
具备良好的团队合作能力。",SQLite、Kotlin、Redis、SpringBoot、阿里云、Django、TensorFlow、AWS
62,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用MySQL、C++、计算机视觉、Flask、Hive、Angular完成系统搭建，
实现高可用分布式架构设计。
学习能力强，适应新技术快。",MySQL、C++、计算机视觉、Flask、Hive、Angular
63,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用PostgreSQL、Go、JavaScript、PyTorch、大模型进行企业级项目开发，
优化数据库性能，提高系统并发能力。
具备良好的团队合作能力。",PostgreSQL、Go、JavaScript、PyTorch、大模型
64,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握Redis、计算机视觉、Hive、Java、Kotlin，
具备扎实的数据结构与算法基础。
具备良好的团队合作能力。",Redis、计算机视觉、Hive、Java、Kotlin
65,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用Keras、Hadoop、Linux、MyBatis、NLP、MySQL完成系统搭建，
实现高可用分布式架构设计。
学习能力强，适应新技术快。",Keras、Hadoop、Linux、MyBatis、NLP、MySQL
66,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握C、PHP、Keras、Spark、Spring、Kotlin，
具备扎实的数据结构与算法基础。
沟通表达能力优秀。",C、PHP、Keras、Spark、Spring、Kotlin
67,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Go、Oracle、Kubernetes、深度学习、AWS、Rust、计算机视觉进行企业级项目开发，
优化数据库性能，提高系统并发能力。
拥有较强的问题分析能力。",Go、Oracle、Kubernetes、深度学习、AWS、Rust、计算机视觉
68,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握Linux、腾讯云、Hive、Flink、C、Kotlin、NLP、PostgreSQL，
具备扎实的数据结构与算法基础。
沟通表达能力优秀。",Linux、腾讯云、Hive、Flink、C、Kotlin、NLP、PostgreSQL
69,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用腾讯云、Java、Flink、SQLite、JavaScript进行企业级项目开发，
优化数据库性能，提高系统并发能力。
学习能力强，适应新技术快。",腾讯云、Java、Flink、SQLite、JavaScript
70,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Redis、Hibernate、Django、Python进行企业级项目开发，
优化数据库性能，提高系统并发能力。
具备良好的团队合作能力。",Redis、Hibernate、Django、Python
71,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握React、NLP、Flask、Rust、Vue、Java、PostgreSQL、MyBatis，
具备扎实的数据结构与算法基础。
沟通表达能力优秀。",React、NLP、Flask、Rust、Vue、Java、PostgreSQL、MyBatis
72,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用大模型、MySQL、Flask、Hadoop、SpringBoot、机器学习、Hive完成系统搭建，
实现高可用分布式架构设计。
沟通表达能力优秀。",大模型、MySQL、Flask、Hadoop、SpringBoot、机器学习、Hive
73,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用Linux、AWS、深度学习、Flink、Angular、TypeScript、Oracle完成系统搭建，
实现高可用分布式架构设计。
具备良好的团队合作能力。",Linux、AWS、深度学习、Flink、Angular、TypeScript、Oracle
74,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用PHP、Rust、Java、NLP、React、Django、Linux、SQLite进行企业级项目开发，
优化数据库性能，提高系统并发能力。
学习能力强，适应新技术快。",PHP、Rust、Java、NLP、React、Django、Linux、SQLite
75,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握Spark、MongoDB、PHP、MySQL、深度学习、Angular、AWS，
具备扎实的数据结构与算法基础。
学习能力强，适应新技术快。",Spark、MongoDB、PHP、MySQL、深度学习、Angular、AWS
76,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Kotlin、Django、Keras、Rust、MySQL进行企业级项目开发，
优化数据库性能，提高系统并发能力。
沟通表达能力优秀。",Kotlin、Django、Keras、Rust、MySQL
77,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握计算机视觉、MySQL、Flask、C、阿里云、SpringBoot、SpringCloud、Kotlin，
具备扎实的数据结构与算法基础。
具备良好的团队合作能力。",计算机视觉、MySQL、Flask、C、阿里云、SpringBoot、SpringCloud、Kotlin
78,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Spring、Oracle、MongoDB、Angular、PyTorch、腾讯云、Django、阿里云进行企业级项目开发，
优化数据库性能，提高系统并发能力。
拥有较强的问题分析能力。",Spring、Oracle、MongoDB、Angular、PyTorch、腾讯云、Django、阿里云
79,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Spring、SQLite、Django、Kubernetes、Hadoop、Hibernate、React进行企业级项目开发，
优化数据库性能，提高系统并发能力。
沟通表达能力优秀。",Spring、SQLite、Django、Kubernetes、Hadoop、Hibernate、React
80,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Python、SQLite、MongoDB、PyTorch、Spark、C++、MyBatis、Django进行企业级项目开发，
优化数据库性能，提高系统并发能力。
具备良好的团队合作能力。",Python、SQLite、MongoDB、PyTorch、Spark、C++、MyBatis、Django
81,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用Python、Rust、SpringBoot、Hibernate、Flink、深度学习、C完成系统搭建，
实现高可用分布式架构设计。
沟通表达能力优秀。",Python、Rust、SpringBoot、Hibernate、Flink、深度学习、C
82,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用SpringCloud、Hadoop、Oracle、腾讯云、大模型完成系统搭建，
实现高可用分布式架构设计。
拥有较强的问题分析能力。",SpringCloud、Hadoop、Oracle、腾讯云、大模型
83,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握Spring、Kotlin、Python、C、C++，
具备扎实的数据结构与算法基础。
沟通表达能力优秀。",Spring、Kotlin、Python、C、C++
84,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握Hibernate、Hadoop、MyBatis、PostgreSQL、PHP、腾讯云，
具备扎实的数据结构与算法基础。
具备良好的团队合作能力。",Hibernate、Hadoop、MyBatis、PostgreSQL、PHP、腾讯云
85,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Go、PHP、MySQL、Spark、SpringCloud进行企业级项目开发，
优化数据库性能，提高系统并发能力。
沟通表达能力优秀。",Go、PHP、MySQL、Spark、SpringCloud
86,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握Go、腾讯云、深度学习、C、TypeScript、Spark，
具备扎实的数据结构与算法基础。
学习能力强，适应新技术快。",Go、腾讯云、深度学习、C、TypeScript、Spark
87,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用Flask、Keras、Go、Vue、Flink、MongoDB、Oracle进行企业级项目开发，
优化数据库性能，提高系统并发能力。
拥有较强的问题分析能力。",Flask、Keras、Go、Vue、Flink、MongoDB、Oracle
88,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用Hadoop、C++、PyTorch、Rust、MySQL、Kotlin、Angular完成系统搭建，
实现高可用分布式架构设计。
学习能力强，适应新技术快。",Hadoop、C++、PyTorch、Rust、MySQL、Kotlin、Angular
89,"教育背景：
2018-2022 本科 计算机科学与技术

工作经历：
2022-至今 后端开发工程师
负责系统架构设计与开发，主要使用机器学习、JavaScript、Spark、Python、PHP、阿里云、Keras进行企业级项目开发，
优化数据库性能，提高系统并发能力。
拥有较强的问题分析能力。",机器学习、JavaScript、Spark、Python、PHP、阿里云、Keras
90,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握Redis、NLP、Kubernetes、C++、Django、Spark、Linux，
具备扎实的数据结构与算法基础。
学习能力强，适应新技术快。",Redis、NLP、Kubernetes、C++、Django、Spark、Linux
91,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握深度学习、MyBatis、JavaScript、阿里云、Flask、React、Linux，
具备扎实的数据结构与算法基础。
学习能力强，适应新技术快。",深度学习、MyBatis、JavaScript、阿里云、Flask、React、Linux
92,"教育背景：
2018-2022 本科 计算机科学与技术

项目经验：
参与多个互联网项目开发，使用Kotlin、阿里云、深度学习、JavaScript、计算机视觉、Hive完成系统搭建，
实现高可用分布式架构设计。
学习能力强，适应新技术快。",Kotlin、阿里云、深度学习、JavaScript、计算机视觉、Hive
93,"教育背景：
2018-2022 本科 计算机科学与技术

技术栈：
熟练掌握React、Flink、Rust、Spring、Keras、Vue，
具备扎实的数据结构与算法基础。
具备良好的团队合作能力。",React、Flink、Rust、Spring、Keras、Vue
